COB_Group,Hiscox_COB,GL,PL,BOP,Cyber,Full_Industry_Code,Definition
Miscellaneous,Executive placement,Yes,Yes,Yes,Yes,56131200_13107100_00000000,Finds and identifies individuals for employment on behalf of companies or individuals as an executive placement specialist.
Miscellaneous,Funeral homes,No,No,Yes,Yes,81221000_11101100_00000000,Provides interment and funeral services for the deceased and their families at funeral homes.
Miscellaneous,Insurance agent association,No,No,Yes,Yes,81391000_11102100_00000000,"Professional organizations or associations that support, represent, or provide resources for insurance agents and brokers."
Miscellaneous,Learning center,Yes,Yes,Yes,Yes,61169100_25304100_01000000,Offers instruction and education on various topics or vocations at learning centers.
Miscellaneous,Learning center - test prep,Yes,Yes,Yes,Yes,61169100_25304100_02000000,"Offers courses and tutoring focused on preparing students for standardized tests, entrance exams, or professional certifications."
Miscellaneous,Library,No,No,Yes,Yes,51912000_11101100_00000000,"Works in a library, managing the lending and rental of books, magazines, and DVDs."
Miscellaneous,Life/career/executive coaching,Yes,Yes,Yes,Yes,54161100_11101100_00000000,"Offers life, career, or executive coaching, providing advice on personal matters but not mental health, medical, marriage, social work, or substance abuse counseling."
Miscellaneous,Manufacturer sales representative,Yes,Yes,Yes,Yes,42512000_41401200_00000000,Sells products of one or more manufacturers on a commission basis as a manufacturer sales representative.
Miscellaneous,Offices - NOC - High hazard,No,No,No,No,56111000_11102100_01000000,Works in offices not otherwise mentioned that are considered high hazard.
Miscellaneous,Offices - NOC - Low hazard,No,No,No,No,56111000_11102100_02000000,Works in offices not otherwise mentioned that are considered low hazard.
Miscellaneous,Offices - NOC - Medium hazard,No,No,No,No,56111000_11102100_03000000,Works in offices not otherwise mentioned that are considered medium hazard.
Miscellaneous,Packaging services,No,No,No,Yes,56191000_53706400_00000000,Performs packing or packaging by hand for a wide variety of products and materials.
Miscellaneous,Personal concierge/assistant,Yes,Yes,Yes,Yes,81299000_39601200_00000000,"Manages aspects of an individual’s personal affairs, including planning and assisting with daily personal tasks as a concierge or assistant."
Miscellaneous,Professional non profit,No,No,Yes,Yes,81391000_11203300_03000000,"Works for a professional non-profit organization, supporting professionals in various fields."
Miscellaneous,Professional training,Yes,Yes,Yes,Yes,61143000_25119900_00000000,"Delivers training programs, workshops, or seminars to enhance professional skills, knowledge, or certifications for individuals or organizations."
Miscellaneous,Radio station (no antenna/tower),No,No,No,Yes,51511200_11102100_01000000,"Operates a radio station for the production and transmission of AM or FM broadcasts, which may include music, talk shows, or navigation."
Miscellaneous,Recruiting (employment placements),Yes,Yes,Yes,Yes,56131100_13107100_00000000,"Finds and identifies individuals for employment on behalf of companies or individuals as a recruiter, without leased employees or temporary staff."
Miscellaneous,Services - NOC - High hazard,No,No,No,No,81299000_11919900_01000000,Offers services not otherwise mentioned that are considered high hazard.
Miscellaneous,Services - NOC - Low hazard,No,No,No,No,81299000_11919900_02000000,Offers services not otherwise mentioned that are considered low hazard.
Miscellaneous,Services - NOC - Medium hazard,No,No,No,No,81299000_11919900_03000000,Offers services not otherwise mentioned that are considered medium hazard.
Miscellaneous,Stenographer/Secretarial services,No,No,Yes,Yes,56141000_42902200_00000000,"Transcribes speech in shorthand, usually in court, as a stenographer or secretarial service provider."
Miscellaneous,Talent agency,Yes,Yes,Yes,Yes,71141000_13101100_00000000,"A talent agency represents individuals by arranging and negotiating engagements or work opportunities on their behalf, acting as an intermediary without directly employing the talent or producing the underlying work."
Miscellaneous,Taxidermists,No,No,Yes,Yes,71151000_27101900_00000000,"Prepares and preserves animal skins, stuffing and mounting them into lifelike forms as a taxidermist."
Miscellaneous,Telemarketer,No,No,Yes,Yes,56142200_41904100_00000000,Practices direct marketing by soliciting prospective customers to buy products or services as a telemarketer.
Miscellaneous,Ticket agency,No,No,Yes,Yes,56159900_43418100_00000000,"Sells tickets for theater, cinema, transportation, or entertainment at a ticket agency."
Miscellaneous,Trade Association non profit,No,No,Yes,Yes,81391000_11203300_04000000,"Participates in a trade association created to protect and advance common interests for tradesmen, businessmen, or manufacturers in a particular industry."
Miscellaneous,Training & development consulting,Yes,Yes,Yes,Yes,61143000_13115100_00000000,"Offers instruction and education on business, vocational, or life skills."
Miscellaneous,"Training (business, vocational or life skills)",Yes,Yes,Yes,Yes,61169900_13115100_01000000,Provides instruction and education on various topics or vocations.
Miscellaneous,Translating/interpreting,Yes,Yes,Yes,Yes,54193000_27309100_00000000,Interprets the meaning of text or speech in one language and provides the equivalent meaning in another as a translator or interpreter.
Miscellaneous,Travel agency,Yes,Yes,Yes,Yes,56151000_41304100_00000000,"Sells travel-related products to individuals or businesses on behalf of travel suppliers, such as airlines or hotels, and coordinates providers, bookings, and payments."
Miscellaneous,Tutoring,Yes,Yes,Yes,Yes,61169100_25309900_00000000,"Provides instruction and education on various topics or vocations as a tutor, excluding physical training, animal training, or aviation training."
Mobile Food Services,Barbecue truck/trailer operator,Yes,No,No,Yes,72233000_11101100_01000000,"Operates a barbecue truck or trailer, providing barbecue food or service to customers."
Mobile Food Services,Catering services,No,No,No,Yes,72232000_11101100_00000000,"Offers catering services for events such as weddings or conferences, including menu planning, cooking, and food presentation."
Mobile Food Services,Coffee/donut cart operator,Yes,No,No,Yes,72233000_11101100_02000000,Prepares and serves donuts and coffee for immediate consumption from motorized vehicles or non-motorized carts.
Mobile Food Services,Food truck/trailer operator,Yes,No,No,Yes,72233000_11101100_03000000,"Prepares and serves food for immediate consumption from food trucks or trailers, whether motorized or not."
Mobile Food Services,Food/beverage cart operator,Yes,No,No,Yes,72233000_11101100_04000000,"Prepares and serves food and beverages for immediate consumption from carts or trucks, including both motorized and non-motorized options."
Mobile Food Services,Hot dog cart operator,Yes,No,No,Yes,72233000_11101100_05000000,Specializes in preparing and serving hotdogs for immediate consumption from carts or trucks.
Mobile Food Services,Ice cream truck operator,Yes,No,No,Yes,72233000_11101100_06000000,Prepares and serves ice cream for immediate consumption from trucks or carts.
Mobile Food Services,Ice cream/snow cone/shaved ice cart operator,Yes,No,No,Yes,72233000_11101100_07000000,"Offers frozen desserts such as ice cream, snow cones, or shaved ice from trucks or carts."
Mobile Food Services,Lemonade cart operator,Yes,No,No,Yes,72233000_11101100_08000000,Prepares and serves lemonade for immediate consumption from mobile carts or vehicles.
Mobile Food Services,Mobile food concessions,Yes,No,No,Yes,72233000_11101100_09000000,"Operates mobile food concessions, preparing and serving food for immediate consumption from vehicles or carts."
Mobile Food Services,Mobile food services,Yes,No,No,Yes,72233000_11101100_10000000,"Provides mobile food services, preparing and serving food for immediate consumption from vehicles or carts."
Mobile Food Services,Mobile food vending services,Yes,No,No,Yes,72233000_11101100_11000000,"Engages in mobile food vending, preparing and serving food for immediate consumption from vehicles or carts."
Mobile Food Services,Mobile kitchen operator,Yes,No,No,Yes,72233000_11101100_12000000,"Operates a mobile kitchen, preparing and serving food for immediate consumption from vehicles or carts."
Mobile Food Services,Mobile street food vendor,Yes,No,No,Yes,72233000_11101100_13000000,"Sells street food from mobile vehicles or carts, preparing and serving food for immediate consumption."
Mobile Food Services,Refreshment Stand with or w/o Cooking,No,No,No,Yes,72221100_11101100_02000000,"Operates a refreshment stand, serving prepared refreshments for immediate consumption from vehicles or carts."
Mobile Food Services,Refreshment Stands,No,No,No,Yes,72221300_11101100_00000000,Prepares and serves snacks for immediate consumption from trucks or carts.
Mobile Food Services,Snack truck operator,Yes,No,No,Yes,72233000_11101100_14000000,Offers snacks and nonalcoholic beverages for immediate consumption from vehicles or carts.
Mobile Food Services,"Snack, Nonalcoholic Beverages Stands",No,No,No,Yes,72233000_11101100_15000000,"Runs a refreshment stand, serving snacks and drinks for immediate consumption from vehicles or carts."
Pet Care Services,Kennels (Boarding),No,No,No,Yes,81291000_39202000_01000000,"Provides pet boarding services, allowing pet owners to leave their pets in care for overnight or extended stays."
Pet Care Services,Other veterinarian services,No,No,Yes,Yes,54194000_29113100_01000000,"Provides additional animal healthcare services beyond standard veterinary care, such as specialized treatments, preventive care, or alternative therapies for pets and other animals."
Pet Care Services,Pet daycare,No,No,No,Yes,81291000_39202000_02000000,"Offers short-term daytime care for pets, providing supervision, socialization, and activities while owners are away during the day."
Pet Care Services,Pet grooming,No,No,No,Yes,81291000_39202000_03000000,"Specializes in pet grooming, offering hygienic care and cleaning, and may enhance appearance for shows or competitions."
Pet Care Services,Pet Grooming Services - Mobile,No,No,No,Yes,81291000_39202000_04000000,"Delivers pet grooming services directly to clients’ locations using a mobile unit, offering convenience for pet owners and minimizing stress for animals during grooming."
Pet Care Services,Pet Motel/Hotel,No,No,No,Yes,81291000_39202000_05000000,"Provides pet motel or hotel services, allowing pet owners to leave their pets in care for overnight or extended stays."
Pet Care Services,Pet sitting,No,No,No,Yes,81291000_39202000_06000000,"Offers pet sitting services, caring for pets in the owner's home while they are away."
Pet Care Services,Pet supply store,No,No,No,Yes,45391000_11101100_00000000,"Sells a variety of animal supplies and pet accessories, including food, treats, toys, aquariums, leashes, and cat litter."
Pet Care Services,Pet Training,No,No,No,Yes,81291000_39201100_00000000,"Teaches and trains animals discipline and tricks, using knowledge of animal behavior and practical teaching skills."
Pet Care Services,Veterinary Services - Domestic Only,No,No,Yes,Yes,54194000_29113100_02000000,"Delivers veterinary services for domestic animals, providing treatments, cures, and preventive measures for diseases."
Pet Care Services,Veterinary Services - Large Animals Only,No,No,Yes,Yes,54194000_29113100_03000000,"Provides veterinary care for large animals, offering treatments, cures, and preventive measures for diseases."
Pet Care Services,Veterinary Services - Mixed (Domestic and Large) Animals,No,No,Yes,Yes,54194000_29113100_04000000,"Offers veterinary services for both domestic and large animals, including treatments, cures, and disease prevention."
Printer & Publishers,Book Printing,No,No,Yes,Yes,32311700_51511200_00000000,Binds books by assembling and securing handwritten or printed pages within a cover.
Printer & Publishers,Book publishing (no printing),No,No,Yes,Yes,51113000_51511300_01000000,"Handles book publishing without printing, including copy editing, production, electronic formatting, marketing, and distribution."
Printer & Publishers,Bookbinding & Related Work,No,No,Yes,Yes,32312000_51511300_00000000,"Binds books and performs related work, assembling and securing pages within a cover."
Printer & Publishers,Business Forms Printing,No,No,Yes,Yes,32311600_51511200_00000000,Prints business forms for various commercial uses.
Printer & Publishers,Commercial Printing - Lithography,No,No,Yes,Yes,32311100_51511200_01000000,"Produces images or writing on flat, specially prepared stones using lithography techniques."
Printer & Publishers,Commercial Printing - Prepress Services,No,No,Yes,Yes,32312000_51511100_01000000,"Provides technical preparation of digital files and materials for commercial printing, including layout, typesetting, color correction, proofing, and plate making."
Printer & Publishers,Copy Shops,No,No,Yes,Yes,56143900_43907100_01000000,Makes copies from physical or electronic documents at a copy shop.
Printer & Publishers,Digital Printing,No,No,Yes,Yes,32311100_51915100_00000000,"Provides digital printing services, transferring digital images to various media."
Printer & Publishers,Film Processing,No,No,Yes,Yes,81292100_51915100_01000000,Processes photographs from film or digital files into prints or other media.
Printer & Publishers,Mail Box & Packaging Services,No,No,Yes,Yes,56143100_53706400_00000000,"Offers mailbox and packaging services, providing mailing addresses and packaging products or materials by hand."
Printer & Publishers,Newspaper publishing (no printing),No,No,Yes,Yes,51111000_51511300_01000000,"Publishes newspapers without printing, handling copy editing, production, formatting, marketing, and distribution."
Printer & Publishers,Other Commercial Printing Services,No,No,Yes,Yes,32311100_51511200_02000000,"Offers specialized or custom printing services not classified elsewhere, may include specialty items for commercial clients."
Printer & Publishers,Periodical publishing (no printing),No,No,Yes,Yes,51112000_51511200_01000000,"Publishes periodicals without printing, managing copy editing, production, formatting, marketing, and distribution."
Printer & Publishers,Photo Engraving,No,No,Yes,Yes,32312000_51511100_02000000,Provides photo engraving services as prepress technicians and workers.
Printer & Publishers,Photo Finishing (One-Hour),No,No,Yes,Yes,81292200_51915100_01000000,"Offers quick photo finishing services, processing photographs rapidly."
Printer & Publishers,Photocopying and duplicating services,No,No,Yes,Yes,56143900_43907100_02000000,"Operates photocopying and duplicating services, using machines to duplicate documents for clients."
Printer & Publishers,Photofinishing Laboratories,No,No,Yes,Yes,81292100_51915100_02000000,"Runs photofinishing laboratories, processing photographs and operating processing machines."
Printer & Publishers,Printing Support Activities,No,No,Yes,Yes,32312000_51511200_00000000,"Supports printing activities, including operation of printing presses."
Printer & Publishers,Publishers - Database,No,No,Yes,Yes,51913000_51511300_00000000,"Publishes databases, transforming unformatted data into formatted publications using software."
Printer & Publishers,Publishers - Greeting Cards,No,No,Yes,Yes,51119100_51511300_00000000,"Publishes greeting cards, handling copy editing, production, formatting, printing, marketing, and distribution."
Printer & Publishers,Publishers - Magazine,No,No,Yes,Yes,51112000_51511300_00000000,"Publishes magazines, managing copy editing, production, formatting, printing, marketing, and distribution."
Printer & Publishers,Publishing (including printing),No,No,Yes,Yes,51119900_51511300_01000000,"Handles publishing, including printing, for magazines, books, and periodicals."
Printer & Publishers,Quick Printing,No,No,Yes,Yes,32311100_51511200_03000000,"Provides quick printing services, including printing, binding, and finishing documents for fast turnaround."
Printer & Publishers,Screen printing,No,No,Yes,Yes,32311300_51511200_00000000,Specializes in screen printing graphics and images on various materials.
Real Estate,Property management,Yes,Yes,No,Yes,53131100_11914100_00000000,"Manages property, real estate, and community associations, often overseeing operations, maintenance, and tenant relations."
Real Estate,Real estate agent/broker,Yes,Yes,Yes,Yes,53121000_41902100_00000000,"Mediates real estate transactions between buyers and sellers, and may match tenants and landlords for rental vacancies as a real estate agent or broker."
Real Estate,Real estate appraisers,No,No,Yes,Yes,53132000_13202300_00000000,"Estimates the value of commercial or residential real estate before it is sold, mortgaged, taxed, or developed as a real estate appraiser."
Restaurant & Food Service,Bagel Shops,No,No,Yes,Yes,72251500_11101100_01000000,Bakes and sells bagels at a dedicated shop.
Restaurant & Food Service,Bakery shops,No,No,Yes,Yes,72251300_51301100_00000000,"Prepares and sells baked goods such as bread, cookies, cakes, and pastries, and may also serve beverages like coffee and tea at a bakery shop."
Restaurant & Food Service,Burrito and Taco Shops,No,No,No,Yes,72221100_11101100_01000000,Cooks and sells tacos and burritos at a dedicated shop.
Restaurant & Food Service,Coffee Bars or Cafés,No,No,Yes,Yes,72251500_11101100_02000000,"Brews and serves coffee, and may offer tea and light refreshments at a coffee bar or café."
Restaurant & Food Service,Coffee shops,No,No,Yes,Yes,72251500_11101100_03000000,"Operates a coffee shop, brewing and serving coffee, tea, and light refreshments."
Restaurant & Food Service,Delis and Delicatessens,No,No,Yes,Yes,72251300_11101100_01000000,"Sells cooked meats, cheeses, and prepared foods such as sandwiches and salads at a deli or delicatessen."
Restaurant & Food Service,Donut shops,No,No,Yes,Yes,72251300_11101100_02000000,"Bakes or fries and sells donuts and other baked goods, sometimes serving coffee and tea at a donut shop."
Restaurant & Food Service,Frozen Yogurt Shops,No,No,Yes,Yes,72251500_11101100_05000000,Serves and sells frozen yogurt at a dedicated shop.
Restaurant & Food Service,Ice cream and frozen yogurt shops,No,No,Yes,Yes,72251500_11101100_06000000,Offers both ice cream and frozen yogurt for sale at a shop.
Restaurant & Food Service,Ice Cream Shops,No,No,Yes,Yes,72251500_11101100_07000000,Specializes in serving and selling ice cream at a dedicated shop.
Restaurant & Food Service,Juice bars,No,No,Yes,Yes,72251500_11101100_08000000,Serves and sells juice and smoothies at a juice bar.
Restaurant & Food Service,"Limited Service Restaurant With Alcohol <75% Of Total Receipts, w/o Dance Floor",No,No,No,No,72251100_11101100_00000000,"Operates a limited service restaurant with alcohol (less than 75% of total receipts) and no dance floor, providing counter service."
Restaurant & Food Service,"Limited Service Restaurant No Alcohol, w/o Dance Floor",No,No,No,Yes,72251300_11101100_03000000,"Runs a limited service restaurant with no alcohol and no dance floor, providing counter service."
Restaurant & Food Service,Pizza Parlors & Delis - No Table Service,No,No,No,Yes,72251300_11101100_04000000,"Serves and sells pizza and sandwiches at a counter, with no table service at a pizza parlor or deli."
Restaurant & Food Service,Refreshment Stands (Non-Alcoholic),No,No,No,Yes,72251500_11101100_11000000,"Operates a refreshment stand, serving pre-made snacks and non-alcoholic drinks."
Restaurant & Food Service,Sandwich Shops,No,No,Yes,Yes,72251300_11101100_05000000,Sells prepared foods such as sandwiches and salads at a sandwich shop.
Restaurant & Food Service,Self Service with or w/o Cooking,No,No,No,Yes,72251500_11101100_12000000,"Offers self-service food and beverages, such as salads or frozen yogurt, with or without cooking."
Restaurant & Food Service,Smoothie bars,No,No,Yes,Yes,72251500_11101100_13000000,Serves and sells smoothies and other juice drinks at a smoothie bar.
Retail,Appliance/electronic stores,Yes,No,No,Yes,44314100_11101100_00000001,Sells appliances and electronics for household and commercial use at dedicated stores.
Retail,Art Dealers or Galleries,No,No,Yes,Yes,45392000_11101100_00000000,"Buys, sells, and displays artwork at art dealers or galleries."
Retail,"Art, Craft & Hobby Supply Stores",No,No,Yes,Yes,45399800_11101100_00000001,"Offers art, craft, and hobby supplies for sale."
Retail,"Art, Picture, & Poster Stores",No,No,Yes,Yes,44229900_11101100_00000001,"Sells art, pictures, and photographs at specialized stores."
Retail,Athletic Footwear Stores,No,No,Yes,Yes,44815000_11101100_00000001,"Provides athletic footwear, including sneakers and shoes for sports and active wear."
Retail,Automotive Parts & Accessories Stores,No,No,No,Yes,44131000_11101100_00000000,"Sells new or used automotive parts, accessories, and related products for vehicles, including batteries, tires, audio equipment, and replacement components."
Retail,Balloon Shops,No,No,Yes,Yes,45322000_11101100_00000001,"Sells balloons for parties, events, and celebrations."
Retail,"Bath, Chinaware & Glassware Shops",No,No,Yes,Yes,44229900_11101100_00000002,"Offers bathroom products, accessories, china, and glassware at specialty shops."
Retail,Bedding Stores,No,No,Yes,Yes,44229900_11101100_00000003,Sells bedding and bedroom accessories at bedding stores.
Retail,Beverage Store - Beer and Wine,No,No,No,No,44531000_11101100_00000000,Specializes in beer and wine sales at beverage stores.
Retail,Beverage Stores - Soft Drinks,No,No,Yes,Yes,44529900_11101100_00000001,Offers soft drinks for sale at beverage stores.
Retail,Book & Magazine Stores,No,No,Yes,Yes,45121100_11101100_00000000,Sells books and magazines at dedicated retail locations.
Retail,Bottled Water Stores,No,No,Yes,Yes,44529900_11101100_00000002,Provides bottled water for sale at specialty stores.
Retail,Bridal Shops,No,No,Yes,Yes,44819000_11101100_00000001,"Sells bridal gowns, veils, shoes, and accessories at bridal shops."
Retail,Butcher Shops,No,No,No,No,44521000_51302200_00000000,Prepares and sells meat and poultry at butcher shops.
Retail,Camera & Photo Equipment Stores,No,No,No,Yes,44314200_11101100_00000001,"Sells and services cameras, lenses, and photo equipment at camera and photo equipment stores."
Retail,Candle Shops,No,No,Yes,Yes,45399800_11101100_00000002,Offers candles for sale at candle shops.
Retail,Candy & Confectionery Stores,No,No,Yes,Yes,44529200_11101100_00000001,Sells candy and chocolates at confectionery stores.
Retail,Cell Phone stores,No,No,No,Yes,44314200_11101100_00000002,"Provides cell phones and accessories, and may offer repair services at cell phone stores."
Retail,Cheese Shops,No,No,Yes,Yes,44529900_11101100_00000003,Sells cheese and related food products at cheese shops.
Retail,Children's & Infants Clothing Stores,No,No,Yes,Yes,44813000_11101100_00000000,"Offers clothing and accessories for babies, infants, and toddlers at children’s and infants’ clothing stores."
Retail,"China, Ceramic, & Pottery Stores",No,No,Yes,Yes,44229900_11101100_00000004,"Sells fine china, ceramics, and pottery items at specialty stores."
Retail,Christmas Stores,No,No,Yes,Yes,45322000_11101100_00000002,Provides Christmas and holiday decorations and accessories at Christmas stores.
Retail,Church Supply Stores,No,No,Yes,Yes,42349000_11101100_00000000,Sells religious items and supplies used in church services at church supply stores.
Retail,Clock Stores,No,No,Yes,Yes,44831000_11101100_00000001,Offers clocks for sale and repair at clock stores.
Retail,Clothing/apparel stores,Yes,No,Yes,Yes,44819000_11101100_00000002,"Sells clothing, apparel, and accessories at clothing/apparel stores."
Retail,Coffee & Tea Stores,No,No,Yes,Yes,44529900_11101100_00000004,Provides coffee beans and tea for home use at coffee and tea stores.
Retail,Collectibles: New Merchandise Only,No,No,Yes,Yes,45322000_11101100_00000003,Sells new collectible items at specialty collectibles stores.
Retail,"Computer, Equipment & Software Retail",No,No,No,Yes,44314200_11101100_00000003,"Offers computers, peripheral equipment, and software for sale and service at computer, equipment, and software retail stores."
Retail,Cookie shop,No,No,Yes,Yes,72251500_11101100_04000000,Sells cookies and other baked goods at cookie shops.
Retail,"Cosmetic, Beauty Supply & Perfume Stores",No,No,Yes,Yes,44612000_11101100_00000000,"Offers cosmetics, makeup, and perfume at beauty supply and perfume stores."
Retail,Cutlery & Flatware Stores,No,No,Yes,Yes,44229900_11101100_00000005,Sells kitchen knives and flatware at cutlery and flatware stores.
Retail,"Dairy, Eggs, & Ice Cream Stores",No,No,No,Yes,44529900_11101100_00000005,"Provides ice cream, dairy products, and eggs at specialty food stores."
Retail,Dance & Figure Skating Apparel Stores,No,No,Yes,Yes,44819000_11101100_00000003,Sells dance and figure skating apparel at dedicated stores.
Retail,Drapery Stores,No,No,Yes,Yes,44229100_11101100_00000001,Offers draperies and curtains for windows.
Retail,Drug Stores,No,No,No,No,44611000_11101100_00000000,"Sells prescription and over-the-counter medications, and may offer health, beauty, or convenience items."
Retail,DVD & Video Stores,No,No,No,Yes,44314200_11101100_00000004,Sells or rents DVDs and videos.
Retail,Electronics (Consumer) Stores,No,No,No,Yes,44314200_11101100_00000005,Offers consumer electronics and accessories for sale and service at electronics stores.
Retail,Fabric Stores,No,No,Yes,Yes,45113000_11101100_00000001,Sells fabric and sewing supplies at fabric stores.
Retail,Family Clothing Stores,No,No,Yes,Yes,44814000_11101100_00000001,Provides clothing and accessories for children and adults at family clothing stores.
Retail,Fish & Seafood Markets,No,No,No,No,44521000_11101100_00000001,Sells fish and seafood at markets specializing in these products.
Retail,Flags & Banners Shops,No,No,Yes,Yes,45399800_11101100_00000003,Offers flags and banners for sale at specialty shops.
Retail,Floor Covering Stores,No,No,Yes,Yes,44221000_11101100_00000000,"Sells carpet, laminate, tile, vinyl, and other floor coverings."
Retail,Florists,Yes,No,Yes,Yes,45311000_27102300_00000000,"Designs, arranges, and sells fresh or artificial flowers and floral products for events, gifts, or decorative purposes."
Retail,Flower (Artificial) Stores,No,No,Yes,Yes,45399800_11101100_00000004,Sells artificial flowers at specialty flower stores.
Retail,Formal Wear & Costume Rental,No,No,Yes,Yes,53228100_11101100_00000000,"Rents formal wear, such as tuxedos and costumes."
Retail,Framing Shops,No,No,Yes,Yes,44229900_11101100_00000006,"Provides custom framing and mounting services for artwork, photographs, and memorabilia, including the sale of ready-made frames and related products."
Retail,Fruit & Vegetable Markets,No,No,No,Yes,44522000_11101100_00000000,Offers fresh fruits and vegetables for sale at markets.
Retail,Furniture & Fixture Stores,No,No,Yes,Yes,44211000_11101100_00000001,"Sells a variety of furniture and decorative fixtures, helping customers furnish and personalize their living or work spaces with items such as sofas, tables, chairs, and lighting."
Retail,Furniture (Outdoor) Stores,No,No,Yes,Yes,44211000_11101100_00000002,"Specializes in outdoor furniture, offering products designed to withstand weather and enhance patios, gardens, or other exterior environments."
Retail,General Merchandise Stores,No,No,Yes,Yes,45231900_11101100_00000001,"Provides a wide selection of general merchandise, including household goods, apparel, and seasonal items, catering to diverse customer needs in one location."
Retail,"Gift, Greeting Card Novelty, & Souvenirs",No,No,Yes,Yes,45322000_11101100_00000004,"Offers gifts, greeting cards, souvenirs, and novelty items for special occasions, celebrations, or as keepsakes."
Retail,Gourmet Food Stores,No,No,Yes,Yes,44529900_11101100_00000006,"Curates gourmet foods, providing specialty ingredients, artisanal products, and unique culinary items for food enthusiasts."
Retail,"Grocery Stores < 15,000 sq ft",No,No,No,No,44511000_11101100_00000000,"Operates a grocery store under 15,000 square feet, supplying fresh produce, dairy, meat, and everyday essentials in a convenient neighborhood setting."
Retail,Hardware Store,No,No,Yes,Yes,44413000_11101100_00000000,"Stocks hardware and home improvement products, supporting DIY projects, repairs, and renovations with tools, materials, and expert advice."
Retail,Hat Stores,No,No,Yes,Yes,44815000_11101100_00000002,"Features a range of hats and headwear, from fashion accessories to functional pieces for various occasions and needs."
Retail,Health & Personal Care Stores,No,No,Yes,Yes,44619100_11101100_00000000,"Provides health, beauty, and personal care products, including skincare, cosmetics, hygiene items, and wellness essentials."
Retail,Hobby Supply Stores,No,No,Yes,Yes,45399800_11101100_00000005,"Supplies hobbyists with modeling kits, craft materials, and tools for building models, dioramas, and creative projects."
Retail,Home Centers,No,No,No,No,44411000_11101100_00000000,"Offers tools, building materials, and household supplies for home construction, remodeling, and improvement projects."
Retail,Home furnishing stores,Yes,No,Yes,Yes,44229900_11101100_00000007,"Sells home furnishings such as couches, tables, beds, and décor, helping customers create comfortable and stylish interiors."
Retail,Household Appliance Stores,No,No,No,Yes,44314100_11101100_00000002,"Provides household appliances, including washers, dryers, refrigerators, and ovens, to equip homes with essential technology."
Retail,Jewelry stores,Yes,No,Yes,Yes,44831000_11101100_00000002,"Specializes in jewelry, offering rings, necklaces, bracelets, and repair services for personal adornment and gifts."
Retail,Kitchen Accessories Stores,No,No,Yes,Yes,44229900_11101100_00000008,"Stocks kitchen accessories like pots, pans, utensils, and gadgets to support cooking and meal preparation."
Retail,Knives & Scissors Stores,No,No,Yes,Yes,44229900_11101100_00000009,"Offers knives and scissors for culinary, crafting, or household use, focusing on quality and durability."
Retail,Lamps & Lighting Fixtures Stores,No,No,Yes,Yes,44229900_11101100_00000010,Features lighting fixtures and lamps to illuminate and enhance the ambiance of homes and offices.
Retail,Lawn & Garden Equipment Stores,No,No,Yes,Yes,44422000_11101100_00000001,"Sells lawn and garden equipment, seeds, and supplies for landscaping, gardening, and outdoor maintenance."
Retail,Leather Goods Stores,No,No,Yes,Yes,44832000_11101100_00000001,"Provides leather goods such as handbags, wallets, gloves, and belts, emphasizing craftsmanship and style."
Retail,Lingerie Stores,No,No,Yes,Yes,44819000_11101100_00000004,"Specializes in lingerie, offering intimate apparel for comfort, support, and fashion."
Retail,Luggage Stores,No,No,Yes,Yes,44832000_11101100_00000002,"Offers luggage, including suitcases, travel bags, and accessories, to meet the needs of travelers."
Retail,Maternity Shops,No,No,Yes,Yes,44812000_11101100_00000001,Sells maternity clothing designed for comfort and style during pregnancy.
Retail,Meat & Poultry Markets,No,No,No,No,44521000_11101100_00000002,"Retailers specializing in the sale of fresh, frozen, or processed meats and poultry products directly to consumers."
Retail,Men's Clothing Stores,No,No,Yes,Yes,44811000_11101100_00000000,"Retail stores focused on selling men’s apparel and accessories, including suits, casual wear, outerwear, and related items."
Retail,Musical Instrument & Supplies Stores,No,No,Yes,Yes,45114000_11101100_00000001,"Provides musical instruments and supplies, such as reeds, oil, and accessories, for musicians and music enthusiasts."
Retail,Nursery & Garden Centers - Retail,No,No,Yes,Yes,44422000_11101100_00000002,"Sells plants, seeds, and gardening supplies to help customers cultivate and maintain gardens and landscapes."
Retail,Nuts Shops,No,No,No,Yes,44529200_11101100_00000002,"Offers a variety of nuts for sale, sometimes preparing them on-site for freshness and flavor."
Retail,Office Machinery/Equipment,No,No,Yes,Yes,53242000_11101100_00000000,"Sells office machines, equipment, and supplies to support business operations and productivity."
Retail,Office Supplies & Stationery Stores,No,No,Yes,Yes,45321000_11101100_00000001,"Provides office supplies and stationery, including pens, notebooks, and organizational tools for work or school."
Retail,Other Clothing Stores,No,No,Yes,Yes,44814000_11101100_00000002,"Sells miscellaneous goods, including food and drinks, that do not fit into other retail categories."
Retail,Other stores (with food/drinks),Yes,No,Yes,Yes,45399800_11101100_00000006,"Offers miscellaneous goods, excluding food and drinks, providing a diverse selection of products."
Retail,Other stores (without food/drinks),Yes,No,Yes,Yes,45399800_11101100_00000007,"Offers miscellaneous goods, excluding food and drinks, providing a diverse selection of products."
Retail,Paint & Wallpaper Stores,No,No,Yes,Yes,44412000_11101100_00000000,"Stocks paint, wallpaper, and wallcovering supplies for home improvement and decorating projects."
